IMAGE,GROUP,ITEM,PRICE_PER_LB,PRICE_PER_OZ,DATE_GATHERED,STORE
1302.jpg,baking_powders,ROLLED RED WHEAT FLAKES,$1.18 ,$0.07 ,1/30/26,Winco_MoVal
1337.jpg,baking_powders,DARK CHOCOLATE FLAVORED MELT,$5.88 ,$0.37 ,2/1/26,Winco_MoVal
1352.jpg,baking_powders,ALMOND FLOUR BLANCHED,$4.98 ,$0.31 ,1/30/26,Winco_MoVal
1371.jpg,baking_powders,TAPIOCA FLOUR STARCH,$2.08 ,$0.13 ,1/30/26,Winco_MoVal
1398.jpg,baking_powders,COUNTRY GRAVY MIX,$3.58 ,$0.22 ,2/1/26,Winco_MoVal
1401.jpg,baking_powders,BOBS RED MILL SPELT FLOUR,$2.68 ,$0.17 ,1/30/26,Winco_MoVal
1404.jpg,baking_powders,FLAX SEEDS,$2.28 ,$0.14 ,1/30/26,Winco_MoVal
1405.jpg,baking_powders,HULLED MILLET,$1.18 ,$0.07 ,1/30/26,Winco_MoVal
1406.jpg,baking_powders,FLAX SEED MEAL,$2.18 ,$0.14 ,1/30/26,Winco_MoVal
1407.jpg,baking_powders,WHOLE BLACK CHIA SEEDS,$3.68 ,$0.23 ,1/30/26,Winco_MoVal
1412.jpg,baking_powders,WHITE RICE FLOUR GLUTEN FREE,$2.08 ,$0.13 ,1/30/26,Winco_MoVal
1417.jpg,baking_powders,VITAL WHEAT GLUTEN,$3.78 ,$0.24 ,2/1/26,Winco_MoVal
1426.jpg,baking_powders,NATURAL ALMOND FLOUR,$4.38 ,$0.27 ,1/30/26,Winco_MoVal
1459.jpg,baking_powders,PANKO BREAD CRUMBS,$2.28 ,$0.14 ,2/1/26,Winco_MoVal
1460.jpg,baking_powders,SEA SALT EXTRA COARSE (CARGILL),$0.68 ,$0.04 ,2/1/26,Winco_MoVal
1478.jpg,baking_powders,KOSHER SALT,$1.18 ,$0.07 ,2/1/26,Winco_MoVal
1479.jpg,baking_powders,MAC & CHEESE POWDER,$4.88 ,$0.31 ,2/1/26,Winco_MoVal
1484.jpg,baking_powders,TOASTED BUCKWHEAT,$3.08 ,$0.19 ,1/30/26,Winco_MoVal
1486.jpg,baking_powders,WHOLE OATS GROATS (GRAIN MILLER),$0.88 ,$0.06 ,1/30/26,Winco_MoVal
1515.jpg,baking_powders,BUCKWHEAT FLOUR GLUTEN FREE,$3.48 ,$0.22 ,1/30/26,Winco_MoVal
1568.jpg,baking_powders,DARK SEMI SWEET BAKE CHIP (50% COCOA),$7.38 ,$0.46 ,2/1/26,Winco_MoVal
1594.jpg,baking_powders,VANILLA MELTY,$5.68 ,$0.36 ,2/1/26,Winco_MoVal
1599.jpg,baking_powders,MILK CHOCOLATE FLAVORED MELT,$6.18 ,$0.39 ,2/1/26,Winco_MoVal
1600.jpg,baking_powders,INSTANT POTATOES,$2.47 ,$0.15 ,2/1/26,Winco_MoVal
1693.jpg,baking_powders,PARMESAN CHEESE (GRATED),$5.43 ,$0.34 ,2/1/26,Winco_MoVal
1707.jpg,baking_powders,DARK BROWN SUGAR (WHITE SATIN),$1.08 ,$0.07 ,2/1/26,Winco_MoVal
1711.jpg,baking_powders,SEA SALT (CARGILL),$0.48 ,$0.03 ,2/1/26,Winco_MoVal
1716.jpg,baking_powders,GRANULATED SUGAR,$0.70 ,$0.04 ,2/1/26,Winco_MoVal
1720.jpg,baking_powders,POWDERED SUGAR,$1.08 ,$0.07 ,2/1/26,Winco_MoVal
1721.jpg,baking_powders,BROWN SUGAR,$0.92 ,$0.06 ,2/1/26,Winco_MoVal
1724.jpg,baking_powders,CORN GRITS POLENTA,$1.46 ,$0.09 ,1/30/26,Winco_MoVal
1726.jpg,baking_powders,BULGUR WHEAT,$1.58 ,$0.10 ,1/30/26,Winco_MoVal
1727.jpg,baking_powders,HIGH GLUTEN FLOUR (BLEACHED),$0.68 ,$0.04 ,2/1/26,Winco_MoVal
1729.jpg,baking_powders,ORGANIC CANE SUGAR,$1.68 ,$0.11 ,2/1/26,Winco_MoVal
1730.jpg,baking_powders,CORN MEAL,$0.86 ,$0.05 ,2/1/26,Winco_MoVal
1731.jpg,baking_powders,WHOLE WHEAT PASTRY FLOUR (BOBS RED MILL),$1.48 ,$0.09 ,2/1/26,Winco_MoVal
